time,lat,lon
2024:07:15 11:36:00,59.330242,18.053900
2024:07:15 11:40:00,59.331043,18.058202
2024:07:15 12:04:59,59.334368,18.061959
2024:07:15 12:16:50,59.330628,18.064790
2024:07:15 12:19:47,59.329511,18.065741
2024:07:15 12:46:27,59.323898,18.070144
2024:07:15 12:50:24,59.324358,18.068544
2024:07:15 13:01:15,59.326958,18.064590
2024:07:15 13:03:14,59.327939,18.065585
2024:07:15 13:05:12,59.328311,18.064354
2024:07:15 13:12:07,59.330745,18.063518
2024:07:16 08:38:51,59.331937,18.063871
2024:07:16 08:39:50,59.332215,18.064169
2024:07:16 08:51:39,59.329053,18.065773
2024:07:16 08:52:38,59.329180,18.065596
2024:07:16 08:54:36,59.328396,18.066843
2024:07:16 09:04:27,59.327190,18.068774
2024:07:16 09:06:25,59.326522,18.069131
2024:07:16 09:09:23,59.326289,18.069557
2024:07:16 09:11:21,59.325904,18.069798
2024:07:16 09:12:20,59.325523,18.070078
2024:07:16 09:18:14,59.325065,18.073165
2024:07:16 09:31:02,59.326229,18.073895
2024:07:16 10:20:00,59.327188,18.074729
2024:07:16 10:28:00,59.328371,18.080996
2024:07:16 10:29:00,59.328192,18.082351
2024:07:16 10:34:00,59.328649,18.086725
2024:07:16 10:35:00,59.328757,18.086329
2024:07:16 10:44:00,59.328254,18.095321
2024:07:16 10:49:00,59.326840,18.097621
2024:07:16 11:21:00,59.328000,18.092713
2024:07:16 11:26:00,59.327785,18.093476
2024:07:16 11:33:00,59.327177,18.095010
2024:07:16 11:41:00,59.327110,18.096679
2024:07:16 11:43:00,59.327276,18.097287
2024:07:16 11:45:00,59.326568,18.097784
2024:07:16 11:49:00,59.326468,18.099417
2024:07:16 11:50:00,59.326703,18.098772
2024:07:16 11:53:00,59.326707,18.100004
2024:07:16 12:03:00,59.325889,18.102200
2024:07:16 12:07:00,59.325968,18.103653
2024:07:16 12:11:00,59.325370,18.104076
2024:07:16 12:20:00,59.323384,18.103584
2024:07:16 12:46:00,59.324017,18.097270
2024:07:16 13:24:40,59.329897,18.085176
2024:07:16 13:33:27,59.332200,18.078182
2024:07:16 13:34:25,59.332122,18.077057
2024:07:16 13:47:07,59.334437,18.066237
2024:07:16 13:50:02,59.334316,18.064351
2024:07:17 08:31:00,59.333792,18.063685
2024:07:17 08:36:00,59.331009,18.065490
2024:07:17 08:42:00,59.327315,18.070484
2024:07:17 08:43:00,59.326780,18.070887
2024:07:17 11:19:00,59.402631,18.352204
2024:07:17 11:23:00,59.403179,18.352341
2024:07:17 11:24:00,59.403116,18.351199
2024:07:17 11:25:00,59.403775,18.351555
2024:07:17 11:27:00,59.403085,18.351348
2024:07:17 11:28:00,59.403643,18.350644
2024:07:17 11:33:00,59.404383,18.349672
2024:07:17 11:34:00,59.403956,18.349805
2024:07:17 11:35:00,59.404672,18.349802
2024:07:17 11:36:00,59.405035,18.348903
2024:07:17 11:37:00,59.404940,18.349250
2024:07:17 11:41:00,59.405845,18.348087
2024:07:17 11:55:00,59.404684,18.344195
2024:07:17 12:10:00,59.402648,18.346910
2024:07:17 12:13:00,59.402252,18.346910
2024:07:17 12:16:00,59.402142,18.348092
2024:07:17 12:17:00,59.402325,18.348053
2024:07:17 12:19:00,59.402497,18.349610
2024:07:17 12:20:00,59.402378,18.349054
2024:07:17 12:35:00,59.401973,18.352634
2024:07:18 09:56:59,59.322111,17.886623
2024:07:18 10:01:55,59.322912,17.884971
2024:07:18 10:03:53,59.323091,17.884793
2024:07:18 10:22:38,59.324304,17.886256
2024:07:18 10:25:36,59.324456,17.886791
2024:07:18 10:28:33,59.324357,17.887862
2024:07:18 10:31:31,59.323844,17.888034
2024:07:18 10:50:16,59.323852,17.888915
2024:07:18 10:53:13,59.323463,17.888582
2024:07:18 10:55:12,59.323430,17.888465
2024:07:18 10:59:08,59.322784,17.887972
2024:07:18 11:05:04,59.322456,17.886733
2024:07:18 13:42:00,59.325333,18.072679
2024:07:18 13:43:00,59.325661,18.072217
2024:07:18 13:44:00,59.325928,18.071511
2024:07:18 13:47:00,59.327491,18.069779
2024:07:18 13:51:00,59.328933,18.066507
2024:07:18 13:54:00,59.330910,18.065793
